## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,4.885535,0.751137,6
## Dist,x, P(X=x), P(X<=x)
Dist,4.000000,0.363838,0.363838
Dist,5.000000,0.447836,0.811674
Dist,6.000000,0.139988,0.951662
Dist,7.000000,0.037389,0.989051
Dist,8.000000,0.009190,0.998241
Dist,9.000000,0.001759,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStatePistoia,-1.000000,-1.000000,Results,3.602957,0.802316,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004965,0.004965
Dist,1.000000,0.021948,0.026912
Dist,2.000000,0.081545,0.108458
Dist,3.000000,0.252533,0.360991
Dist,4.000000,0.534727,0.895718
Dist,5.000000,0.104282,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,SteadyStateLucca,-1.000000,-1.000000,Results,4.828621,2.196534,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.009632,0.009632
Dist,1.000000,0.024314,0.033946
Dist,2.000000,0.049276,0.083221
Dist,3.000000,0.092550,0.175771
Dist,4.000000,0.164373,0.340144
Dist,5.000000,0.261873,0.602017
Dist,6.000000,0.324632,0.926649
Dist,7.000000,0.073351,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateViareggio,-1.000000,-1.000000,Results,4.680724,2.109304,8
## Dist,x, P(X=x), P(X<=x)
Dist,3.000000,0.206896,0.206896
Dist,4.000000,0.340686,0.547582
Dist,5.000000,0.213429,0.761011
Dist,6.000000,0.120697,0.881708
Dist,7.000000,0.065209,0.946917
Dist,8.000000,0.033163,0.980080
Dist,9.000000,0.015003,0.995083
Dist,10.000000,0.004917,1.000000

