## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,2.898890,0.765011,6
## Dist,x, P(X=x), P(X<=x)
Dist,2.000000,0.358815,0.358815
Dist,3.000000,0.447507,0.806322
Dist,4.000000,0.143108,0.949430
Dist,5.000000,0.038988,0.988417
Dist,6.000000,0.009709,0.998126
Dist,7.000000,0.001874,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStatePistoia,-1.000000,-1.000000,Results,3.589126,0.817345,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.005281,0.005281
Dist,1.000000,0.023044,0.028325
Dist,2.000000,0.084087,0.112413
Dist,3.000000,0.255179,0.367592
Dist,4.000000,0.529670,0.897263
Dist,5.000000,0.102737,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,SteadyStateLucca,-1.000000,-1.000000,Results,4.769756,2.242713,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.010336,0.010336
Dist,1.000000,0.026059,0.036395
Dist,2.000000,0.052568,0.088963
Dist,3.000000,0.097697,0.186660
Dist,4.000000,0.170161,0.356821
Dist,5.000000,0.262944,0.619766
Dist,6.000000,0.311538,0.931304
Dist,7.000000,0.068696,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateViareggio,-1.000000,-1.000000,Results,2.740067,2.154965,8
## Dist,x, P(X=x), P(X<=x)
Dist,1.000000,0.193728,0.193728
Dist,2.000000,0.334993,0.528721
Dist,3.000000,0.218439,0.747159
Dist,4.000000,0.126644,0.873803
Dist,5.000000,0.069350,0.943153
Dist,6.000000,0.035489,0.978642
Dist,7.000000,0.016086,0.994728
Dist,8.000000,0.005272,1.000000

