## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,1.445195,4.505151,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.460538,0.460538
Dist,1.000000,0.203830,0.664368
Dist,2.000000,0.130817,0.795185
Dist,3.000000,0.079196,0.874382
Dist,4.000000,0.046974,0.921356
Dist,5.000000,0.027915,0.949270
Dist,6.000000,0.016829,0.966099
Dist,7.000000,0.010423,0.976522
Dist,8.000000,0.006699,0.983221
Dist,9.000000,0.004659,0.987880
Dist,10.000000,0.003391,0.991270
Dist,11.000000,0.002553,0.993823
Dist,12.000000,0.001969,0.995792
Dist,13.000000,0.001552,0.997344
Dist,14.000000,0.001282,0.998626
Dist,15.000000,0.000758,0.999384
Dist,16.000000,0.000404,0.999788
Dist,17.000000,0.000169,0.999957
Dist,18.000000,0.000043,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStatePistoia,-1.000000,-1.000000,Results,1.634872,1.868297,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.212668,0.212668
Dist,1.000000,0.328525,0.541193
Dist,2.000000,0.217598,0.758791
Dist,3.000000,0.132136,0.890927
Dist,4.000000,0.088428,0.979355
Dist,5.000000,0.010648,0.990003
Dist,6.000000,0.005446,0.995449
Dist,7.000000,0.002580,0.998030
Dist,8.000000,0.001160,0.999190
Dist,9.000000,0.000497,0.999687
Dist,10.000000,0.000201,0.999887
Dist,11.000000,0.000076,0.999963
Dist,12.000000,0.000026,0.999989
Dist,13.000000,0.000008,0.999997
Dist,14.000000,0.000002,0.999999
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,SteadyStateLucca,-1.000000,-1.000000,Results,4.844154,3.491150,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.028768,0.028768
Dist,1.000000,0.044041,0.072809
Dist,2.000000,0.064113,0.136922
Dist,3.000000,0.090724,0.227646
Dist,4.000000,0.124299,0.351945
Dist,5.000000,0.168372,0.520317
Dist,6.000000,0.297122,0.817439
Dist,7.000000,0.182561,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateViareggio,-1.000000,-1.000000,Results,10.073931,5.998880,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.006323,0.006323
Dist,1.000000,0.005190,0.011512
Dist,2.000000,0.006128,0.017640
Dist,3.000000,0.007848,0.025488
Dist,4.000000,0.010795,0.036282
Dist,5.000000,0.015843,0.052125
Dist,6.000000,0.024758,0.076884
Dist,7.000000,0.040963,0.117847
Dist,8.000000,0.070447,0.188294
Dist,9.000000,0.120066,0.308360
Dist,10.000000,0.191074,0.499434
Dist,11.000000,0.241362,0.740796
Dist,12.000000,0.161966,0.902762
Dist,13.000000,0.059634,0.962396
Dist,14.000000,0.023612,0.986008
Dist,15.000000,0.009338,0.995346
Dist,16.000000,0.003422,0.998769
Dist,17.000000,0.001035,0.999804
Dist,18.000000,0.000196,1.000000

