## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,0.950790,1.349270,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.472169,0.472169
Dist,1.000000,0.267069,0.739239
Dist,2.000000,0.150374,0.889613
Dist,3.000000,0.071098,0.960711
Dist,4.000000,0.028520,0.989230
Dist,5.000000,0.009018,0.998248
Dist,6.000000,0.001752,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStatePistoia,-1.000000,-1.000000,Results,1.114172,1.124791,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.331988,0.331988
Dist,1.000000,0.365026,0.697014
Dist,2.000000,0.193195,0.890209
Dist,3.000000,0.079373,0.969583
Dist,4.000000,0.027765,0.997347
Dist,5.000000,0.002339,0.999686
Dist,6.000000,0.000314,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,SteadyStateLucca,-1.000000,-1.000000,Results,2.599540,2.532776,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.107426,0.107426
Dist,1.000000,0.168435,0.275860
Dist,2.000000,0.207042,0.482902
Dist,3.000000,0.211900,0.694802
Dist,4.000000,0.174039,0.868842
Dist,5.000000,0.101786,0.970628
Dist,6.000000,0.029372,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateViareggio,-1.000000,-1.000000,Results,1.333620,1.599533,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.311876,0.311876
Dist,1.000000,0.306511,0.618387
Dist,2.000000,0.205693,0.824081
Dist,3.000000,0.109755,0.933836
Dist,4.000000,0.047447,0.981283
Dist,5.000000,0.015634,0.996917
Dist,6.000000,0.003083,1.000000

