## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,1.330674,1.310960,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.306792,0.306792
Dist,1.000000,0.260589,0.567380
Dist,2.000000,0.258717,0.826098
Dist,3.000000,0.145118,0.971216
Dist,4.000000,0.026701,0.997917
Dist,5.000000,0.002007,0.999924
Dist,6.000000,0.000076,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,1.213517,0.966308,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.275383,0.275383
Dist,1.000000,0.356002,0.631385
Dist,2.000000,0.251853,0.883238
Dist,3.000000,0.113239,0.996477
Dist,4.000000,0.003523,1.000000
Dist,5.000000,0.000000,1.000000
Dist,6.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,1.402036,1.384194,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.256794,0.256794
Dist,1.000000,0.325990,0.582784
Dist,2.000000,0.237378,0.820163
Dist,3.000000,0.128753,0.948915
Dist,4.000000,0.041411,0.990327
Dist,5.000000,0.008655,0.998981
Dist,6.000000,0.001019,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,2.053068,1.179041,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.098365,0.098365
Dist,1.000000,0.194896,0.293261
Dist,2.000000,0.331426,0.624687
Dist,3.000000,0.310784,0.935471
Dist,4.000000,0.059845,0.995316
Dist,5.000000,0.004515,0.999831
Dist,6.000000,0.000169,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,0.916299,1.197589,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.467144,0.467144
Dist,1.000000,0.281808,0.748952
Dist,2.000000,0.155008,0.903960
Dist,3.000000,0.067057,0.971017
Dist,4.000000,0.022496,0.993513
Dist,5.000000,0.005603,0.999116
Dist,6.000000,0.000884,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,6.000000,6.000000,Results,1.070713,1.069265,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342074,0.342074
Dist,1.000000,0.372133,0.714206
Dist,2.000000,0.187936,0.902142
Dist,3.000000,0.071967,0.974109
Dist,4.000000,0.022979,0.997088
Dist,5.000000,0.002581,0.999669
Dist,6.000000,0.000331,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,6.000000,6.000000,Results,2.604984,2.550672,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.108093,0.108093
Dist,1.000000,0.168044,0.276137
Dist,2.000000,0.205370,0.481508
Dist,3.000000,0.210733,0.692240
Dist,4.000000,0.174634,0.866874
Dist,5.000000,0.103289,0.970163
Dist,6.000000,0.029837,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,6.000000,6.000000,Results,1.406140,1.633925,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.288443,0.288443
Dist,1.000000,0.302731,0.591173
Dist,2.000000,0.218100,0.809274
Dist,3.000000,0.119415,0.928689
Dist,4.000000,0.051015,0.979704
Dist,5.000000,0.016875,0.996578
Dist,6.000000,0.003422,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,0.966019,1.379668,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.468772,0.468772
Dist,1.000000,0.265297,0.734070
Dist,2.000000,0.151651,0.885721
Dist,3.000000,0.073011,0.958732
Dist,4.000000,0.029828,0.988560
Dist,5.000000,0.009567,0.998127
Dist,6.000000,0.001873,1.000000

