## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,5.153320,2.004198,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000375,0.000375
Dist,1.000000,0.003907,0.004282
Dist,2.000000,0.027533,0.031814
Dist,3.000000,0.105277,0.137091
Dist,4.000000,0.173420,0.310512
Dist,5.000000,0.256955,0.567467
Dist,6.000000,0.258622,0.826089
Dist,7.000000,0.145124,0.971213
Dist,8.000000,0.026703,0.997916
Dist,9.000000,0.002007,0.999923
Dist,10.000000,0.000075,0.999998
Dist,11.000000,0.000002,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,1.386196,1.388899,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.264500,0.264500
Dist,1.000000,0.331397,0.595898
Dist,2.000000,0.222335,0.818233
Dist,3.000000,0.116943,0.935176
Dist,4.000000,0.064821,0.999997
Dist,5.000000,0.000003,1.000000
Dist,6.000000,0.000000,1.000000
Dist,7.000000,0.000000,1.000000
Dist,8.000000,0.000000,1.000000
Dist,9.000000,0.000000,1.000000
Dist,10.000000,0.000000,1.000000
Dist,11.000000,0.000000,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,1.447286,1.584534,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.256074,0.256074
Dist,1.000000,0.323869,0.579943
Dist,2.000000,0.232397,0.812340
Dist,3.000000,0.119059,0.931399
Dist,4.000000,0.047567,0.978967
Dist,5.000000,0.015611,0.994577
Dist,6.000000,0.004836,0.999414
Dist,7.000000,0.000586,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,6.012491,1.390729,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000065,0.000065
Dist,1.000000,0.000901,0.000966
Dist,2.000000,0.005212,0.006179
Dist,3.000000,0.022205,0.028384
Dist,4.000000,0.074673,0.103057
Dist,5.000000,0.190499,0.293556
Dist,6.000000,0.331140,0.624695
Dist,7.000000,0.310774,0.935470
Dist,8.000000,0.059843,0.995313
Dist,9.000000,0.004514,0.999827
Dist,10.000000,0.000169,0.999996
Dist,11.000000,0.000004,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,0.736594,1.886968,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.650308,0.650308
Dist,1.000000,0.171163,0.821471
Dist,2.000000,0.085805,0.907276
Dist,3.000000,0.041781,0.949057
Dist,4.000000,0.021696,0.970753
Dist,5.000000,0.012501,0.983254
Dist,6.000000,0.007415,0.990669
Dist,7.000000,0.004351,0.995019
Dist,8.000000,0.002469,0.997489
Dist,9.000000,0.001338,0.998827
Dist,10.000000,0.000689,0.999516
Dist,11.000000,0.000311,0.999827
Dist,12.000000,0.000125,0.999951
Dist,13.000000,0.000041,0.999992
Dist,14.000000,0.000008,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,6.000000,6.000000,Results,1.843977,1.622816,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.161564,0.161564
Dist,1.000000,0.281934,0.443498
Dist,2.000000,0.239824,0.683322
Dist,3.000000,0.186293,0.869615
Dist,4.000000,0.128900,0.998516
Dist,5.000000,0.001102,0.999618
Dist,6.000000,0.000293,0.999911
Dist,7.000000,0.000071,0.999982
Dist,8.000000,0.000015,0.999997
Dist,9.000000,0.000003,1.000000
Dist,10.000000,0.000000,1.000000
Dist,11.000000,0.000000,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,6.000000,6.000000,Results,5.351998,2.643566,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.010347,0.010347
Dist,1.000000,0.022673,0.033021
Dist,2.000000,0.041383,0.074403
Dist,3.000000,0.067559,0.141962
Dist,4.000000,0.104204,0.246166
Dist,5.000000,0.166550,0.412716
Dist,6.000000,0.316669,0.729386
Dist,7.000000,0.270614,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,6.000000,6.000000,Results,6.065735,4.748331,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.005711,0.005711
Dist,1.000000,0.014610,0.020321
Dist,2.000000,0.033637,0.053959
Dist,3.000000,0.067268,0.121227
Dist,4.000000,0.111563,0.232789
Dist,5.000000,0.153633,0.386422
Dist,6.000000,0.181566,0.567988
Dist,7.000000,0.181497,0.749485
Dist,8.000000,0.127800,0.877285
Dist,9.000000,0.069503,0.946788
Dist,10.000000,0.033307,0.980095
Dist,11.000000,0.013744,0.993839
Dist,12.000000,0.004715,0.998554
Dist,13.000000,0.001246,0.999800
Dist,14.000000,0.000200,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
