## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,9.153296,2.004476,23
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.343553,0.642490
Dist,7.000000,0.357510,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,6.000000,6.000000,Results,10.223019,5.753136,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000196,0.000196
Dist,1.000000,0.000355,0.000551
Dist,2.000000,0.000854,0.001406
Dist,3.000000,0.002159,0.003565
Dist,4.000000,0.005455,0.009020
Dist,5.000000,0.013722,0.022742
Dist,6.000000,0.032611,0.055352
Dist,7.000000,0.066377,0.121730
Dist,8.000000,0.110367,0.232097
Dist,9.000000,0.149967,0.382064
Dist,10.000000,0.168500,0.550565
Dist,11.000000,0.157921,0.708485
Dist,12.000000,0.124243,0.832729
Dist,13.000000,0.082653,0.915382
Dist,14.000000,0.046996,0.962378
Dist,15.000000,0.023140,0.985518
Dist,16.000000,0.009613,0.995130
Dist,17.000000,0.003413,0.998544
Dist,18.000000,0.001079,0.999623
Dist,19.000000,0.000296,0.999919
Dist,20.000000,0.000068,0.999987
Dist,21.000000,0.000012,0.999999
Dist,22.000000,0.000001,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,0.788825,2.009942,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.622876,0.622876
Dist,1.000000,0.177954,0.800830
Dist,2.000000,0.099599,0.900429
Dist,3.000000,0.050515,0.950944
Dist,4.000000,0.024059,0.975003
Dist,5.000000,0.011325,0.986328
Dist,6.000000,0.005553,0.991881
Dist,7.000000,0.002942,0.994823
Dist,8.000000,0.001701,0.996524
Dist,9.000000,0.001058,0.997582
Dist,10.000000,0.000692,0.998274
Dist,11.000000,0.000467,0.998741
Dist,12.000000,0.000323,0.999064
Dist,13.000000,0.000241,0.999304
Dist,14.000000,0.000184,0.999488
Dist,15.000000,0.000144,0.999632
Dist,16.000000,0.000115,0.999747
Dist,17.000000,0.000093,0.999840
Dist,18.000000,0.000077,0.999917
Dist,19.000000,0.000046,0.999963
Dist,20.000000,0.000024,0.999987
Dist,21.000000,0.000010,0.999997
Dist,22.000000,0.000003,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,12.000000,12.000000,Results,1.980253,1.838710,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.154996,0.154996
Dist,1.000000,0.265594,0.420590
Dist,2.000000,0.211744,0.632335
Dist,3.000000,0.186689,0.819023
Dist,4.000000,0.176193,0.995216
Dist,5.000000,0.003120,0.998337
Dist,6.000000,0.001136,0.999472
Dist,7.000000,0.000369,0.999841
Dist,8.000000,0.000113,0.999954
Dist,9.000000,0.000033,0.999987
Dist,10.000000,0.000009,0.999997
