## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,3.283412,1.825789,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.018172,0.018172
Dist,1.000000,0.090010,0.108182
Dist,2.000000,0.171175,0.279357
Dist,3.000000,0.257311,0.536668
Dist,4.000000,0.270530,0.807198
Dist,5.000000,0.162066,0.969264
Dist,6.000000,0.028564,0.997828
Dist,7.000000,0.002093,0.999921
Dist,8.000000,0.000078,0.999998
Dist,9.000000,0.000002,1.000000
Dist,10.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,1.000000,1.000000,Results,3.950844,1.432839,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.007456,0.007456
Dist,1.000000,0.024893,0.032349
Dist,2.000000,0.081786,0.114135
Dist,3.000000,0.201144,0.315279
Dist,4.000000,0.331520,0.646798
Dist,5.000000,0.291093,0.937891
Dist,6.000000,0.057532,0.995423
Dist,7.000000,0.004407,0.999830
Dist,8.000000,0.000167,0.999996
Dist,9.000000,0.000004,1.000000
Dist,10.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,1.000000,1.000000,Results,1.743287,1.754258,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.202473,0.202473
Dist,1.000000,0.274564,0.477037
Dist,2.000000,0.239213,0.716250
Dist,3.000000,0.160785,0.877035
Dist,4.000000,0.108136,0.985170
Dist,5.000000,0.013645,0.998816
Dist,6.000000,0.001118,0.999934
Dist,7.000000,0.000063,0.999997
Dist,8.000000,0.000003,1.000000
Dist,9.000000,0.000000,1.000000
Dist,10.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,1.000000,1.000000,Results,1.021749,0.962238,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.345134,0.345134
Dist,1.000000,0.388413,0.733547
Dist,2.000000,0.187577,0.921124
Dist,3.000000,0.060561,0.981685
Dist,4.000000,0.015197,0.996882
Dist,5.000000,0.002997,0.999878
