## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,1.426308,1.293882,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.263609,0.263609
Dist,1.000000,0.272233,0.535842
Dist,2.000000,0.271368,0.807210
Dist,3.000000,0.162064,0.969274
Dist,4.000000,0.028559,0.997833
Dist,5.000000,0.002092,0.999924
Dist,6.000000,0.000076,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,1.000000,1.000000,Results,1.991790,1.217823,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.113016,0.113016
Dist,1.000000,0.202235,0.315251
Dist,2.000000,0.331547,0.646798
Dist,3.000000,0.291093,0.937891
Dist,4.000000,0.057533,0.995424
Dist,5.000000,0.004408,0.999831
Dist,6.000000,0.000169,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,1.000000,1.000000,Results,1.600665,1.398729,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.207920,0.207920
Dist,1.000000,0.287297,0.495217
Dist,2.000000,0.262593,0.757809
Dist,3.000000,0.186381,0.944190
Dist,4.000000,0.050304,0.994495
Dist,5.000000,0.005209,0.999704
Dist,6.000000,0.000296,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,1.000000,1.000000,Results,0.980531,0.823845,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.347356,0.347356
Dist,1.000000,0.394009,0.741365
Dist,2.000000,0.194261,0.935625
Dist,3.000000,0.059843,0.995469
Dist,4.000000,0.004200,0.999669
Dist,5.000000,0.000316,0.999985
Dist,6.000000,0.000015,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,0.975644,0.961450,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.383546,0.383546
Dist,1.000000,0.347103,0.730650
Dist,2.000000,0.196795,0.927445
Dist,3.000000,0.057617,0.985062
Dist,4.000000,0.012773,0.997835
Dist,5.000000,0.001984,0.999819
Dist,6.000000,0.000181,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,6.000000,6.000000,Results,1.241333,1.756577,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.379231,0.379231
Dist,1.000000,0.272407,0.651638
Dist,2.000000,0.177373,0.829011
Dist,3.000000,0.098893,0.927904
Dist,4.000000,0.047953,0.975858
Dist,5.000000,0.019166,0.995024
Dist,6.000000,0.004976,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,6.000000,6.000000,Results,2.191504,2.117652,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.156750,0.156750
Dist,1.000000,0.196565,0.353315
Dist,2.000000,0.213155,0.566470
Dist,3.000000,0.208264,0.774734
Dist,4.000000,0.186278,0.961012
Dist,5.000000,0.035203,0.996215
Dist,6.000000,0.003785,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,6.000000,6.000000,Results,1.589626,1.767630,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.227565,0.227565
Dist,1.000000,0.316008,0.543573
Dist,2.000000,0.227665,0.771238
Dist,3.000000,0.133300,0.904539
Dist,4.000000,0.064878,0.969416
Dist,5.000000,0.024626,0.994043
Dist,6.000000,0.005957,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,0.916546,0.971907,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.418098,0.418098
Dist,1.000000,0.337321,0.755419
Dist,2.000000,0.174126,0.929544
Dist,3.000000,0.053964,0.983508
Dist,4.000000,0.013657,0.997165
Dist,5.000000,0.002554,0.999719
Dist,6.000000,0.000281,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,12.000000,12.000000,Results,1.442918,2.037300,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.332424,0.332424
Dist,1.000000,0.258263,0.590687
Dist,2.000000,0.188519,0.779207
Dist,3.000000,0.119430,0.898636
Dist,4.000000,0.065208,0.963845
Dist,5.000000,0.028439,0.992283
Dist,6.000000,0.007717,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,12.000000,12.000000,Results,1.950238,2.113475,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.201904,0.201904
Dist,1.000000,0.223771,0.425675
Dist,2.000000,0.211349,0.637024
Dist,3.000000,0.183472,0.820496
Dist,4.000000,0.147362,0.967858
Dist,5.000000,0.028946,0.996804
Dist,6.000000,0.003196,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,12.000000,12.000000,Results,1.688472,1.913376,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.213462,0.213462
Dist,1.000000,0.302473,0.515935
Dist,2.000000,0.228290,0.744225
Dist,3.000000,0.141489,0.885714
Dist,4.000000,0.074690,0.960405
Dist,5.000000,0.031382,0.991786
Dist,6.000000,0.008214,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,24.000000,24.000000,Results,0.945620,1.007785,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.408070,0.408070
Dist,1.000000,0.336628,0.744697
Dist,2.000000,0.179061,0.923759
Dist,3.000000,0.057721,0.981479
Dist,4.000000,0.015230,0.996709
Dist,5.000000,0.002957,0.999666
Dist,6.000000,0.000334,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,24.000000,24.000000,Results,1.406783,2.005395,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342855,0.342855
Dist,1.000000,0.258917,0.601773
Dist,2.000000,0.185513,0.787286
Dist,3.000000,0.115768,0.903053
Dist,4.000000,0.062527,0.965580
Dist,5.000000,0.027090,0.992670
Dist,6.000000,0.007330,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,24.000000,24.000000,Results,1.982440,2.115851,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.195248,0.195248
Dist,1.000000,0.220292,0.415539
Dist,2.000000,0.212392,0.627931
Dist,3.000000,0.187283,0.815214
Dist,4.000000,0.151711,0.966925
Dist,5.000000,0.029779,0.996704
Dist,6.000000,0.003296,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,24.000000,24.000000,Results,1.663324,1.881423,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217231,0.217231
Dist,1.000000,0.305984,0.523214
Dist,2.000000,0.228020,0.751234
Dist,3.000000,0.139071,0.890305
Dist,4.000000,0.072122,0.962427
Dist,5.000000,0.029836,0.992264
Dist,6.000000,0.007736,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,48.000000,48.000000,Results,0.946415,1.008704,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.407790,0.407790
Dist,1.000000,0.336620,0.744409
Dist,2.000000,0.179184,0.923593
Dist,3.000000,0.057836,0.981429
Dist,4.000000,0.015271,0.996700
Dist,5.000000,0.002965,0.999665
Dist,6.000000,0.000335,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,48.000000,48.000000,Results,1.406957,2.006348,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342932,0.342932
Dist,1.000000,0.258800,0.601732
Dist,2.000000,0.185462,0.787194
Dist,3.000000,0.115784,0.902978
Dist,4.000000,0.062566,0.965544
Dist,5.000000,0.027117,0.992661
Dist,6.000000,0.007339,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,48.000000,48.000000,Results,1.982170,2.115422,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.195233,0.195233
Dist,1.000000,0.220366,0.415600
Dist,2.000000,0.212450,0.628050
Dist,3.000000,0.187265,0.815315
Dist,4.000000,0.151614,0.966929
Dist,5.000000,0.029773,0.996702
Dist,6.000000,0.003298,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,48.000000,48.000000,Results,1.662625,1.880325,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217323,0.217323
Dist,1.000000,0.306075,0.523398
Dist,2.000000,0.228033,0.751431
Dist,3.000000,0.139016,0.890447
Dist,4.000000,0.072048,0.962495
Dist,5.000000,0.029786,0.992281
Dist,6.000000,0.007719,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,96.000000,96.000000,Results,0.946413,1.008701,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.407790,0.407790
Dist,1.000000,0.336620,0.744410
Dist,2.000000,0.179183,0.923593
Dist,3.000000,0.057836,0.981429
Dist,4.000000,0.015271,0.996700
Dist,5.000000,0.002965,0.999665
Dist,6.000000,0.000335,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,96.000000,96.000000,Results,1.406959,2.006348,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342931,0.342931
Dist,1.000000,0.258801,0.601732
Dist,2.000000,0.185462,0.787194
Dist,3.000000,0.115784,0.902978
Dist,4.000000,0.062566,0.965544
Dist,5.000000,0.027117,0.992661
Dist,6.000000,0.007339,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,96.000000,96.000000,Results,1.982170,2.115422,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.195233,0.195233
Dist,1.000000,0.220366,0.415600
Dist,2.000000,0.212450,0.628050
Dist,3.000000,0.187265,0.815315
Dist,4.000000,0.151614,0.966930
Dist,5.000000,0.029773,0.996702
Dist,6.000000,0.003298,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,96.000000,96.000000,Results,1.662627,1.880327,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217322,0.217322
Dist,1.000000,0.306075,0.523397
Dist,2.000000,0.228033,0.751430
Dist,3.000000,0.139016,0.890447
Dist,4.000000,0.072049,0.962495
Dist,5.000000,0.029786,0.992281
Dist,6.000000,0.007719,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,192.000000,192.000000,Results,0.946413,1.008701,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.407790,0.407790
Dist,1.000000,0.336620,0.744410
Dist,2.000000,0.179183,0.923593
Dist,3.000000,0.057836,0.981429
Dist,4.000000,0.015271,0.996700
Dist,5.000000,0.002965,0.999665
Dist,6.000000,0.000335,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,192.000000,192.000000,Results,1.406959,2.006348,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342931,0.342931
Dist,1.000000,0.258801,0.601732
Dist,2.000000,0.185462,0.787194
Dist,3.000000,0.115784,0.902978
Dist,4.000000,0.062566,0.965544
Dist,5.000000,0.027117,0.992661
Dist,6.000000,0.007339,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,192.000000,192.000000,Results,1.982170,2.115422,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.195233,0.195233
Dist,1.000000,0.220366,0.415600
Dist,2.000000,0.212450,0.628050
Dist,3.000000,0.187265,0.815315
Dist,4.000000,0.151614,0.966930
Dist,5.000000,0.029773,0.996702
Dist,6.000000,0.003298,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,192.000000,192.000000,Results,1.662627,1.880327,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217322,0.217322
Dist,1.000000,0.306075,0.523397
Dist,2.000000,0.228033,0.751430
Dist,3.000000,0.139016,0.890447
Dist,4.000000,0.072049,0.962495
Dist,5.000000,0.029786,0.992281
Dist,6.000000,0.007719,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,384.000000,384.000000,Results,0.946413,1.008701,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.407790,0.407790
Dist,1.000000,0.336620,0.744410
Dist,2.000000,0.179183,0.923593
Dist,3.000000,0.057836,0.981429
Dist,4.000000,0.015271,0.996700
Dist,5.000000,0.002965,0.999665
Dist,6.000000,0.000335,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,384.000000,384.000000,Results,1.406959,2.006348,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.342931,0.342931
Dist,1.000000,0.258801,0.601732
Dist,2.000000,0.185462,0.787194
Dist,3.000000,0.115784,0.902978
Dist,4.000000,0.062566,0.965544
Dist,5.000000,0.027117,0.992661
Dist,6.000000,0.007339,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,384.000000,384.000000,Results,1.982170,2.115422,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.195233,0.195233
Dist,1.000000,0.220366,0.415600
Dist,2.000000,0.212450,0.628050
Dist,3.000000,0.187265,0.815315
Dist,4.000000,0.151614,0.966930
Dist,5.000000,0.029773,0.996702
Dist,6.000000,0.003298,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,384.000000,384.000000,Results,1.662627,1.880327,7
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217322,0.217322
Dist,1.000000,0.306075,0.523397
Dist,2.000000,0.228033,0.751430
Dist,3.000000,0.139016,0.890447
Dist,4.000000,0.072049,0.962495
Dist,5.000000,0.029786,0.992281
Dist,6.000000,0.007719,1.000000

