## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,7.280919,1.844638,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000009,0.000010
Dist,2.000000,0.000160,0.000170
Dist,3.000000,0.001954,0.002124
Dist,4.000000,0.016230,0.018354
Dist,5.000000,0.089834,0.108188
Dist,6.000000,0.171169,0.279357
Dist,7.000000,0.257311,0.536668
Dist,8.000000,0.270530,0.807198
Dist,9.000000,0.162066,0.969264
Dist,10.000000,0.028564,0.997828
Dist,11.000000,0.002093,0.999921
Dist,12.000000,0.000078,0.999998
Dist,13.000000,0.000002,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,1.000000,1.000000,Results,7.949198,1.447815,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000001,0.000001
Dist,1.000000,0.000011,0.000011
Dist,2.000000,0.000151,0.000162
Dist,3.000000,0.001285,0.001448
Dist,4.000000,0.006033,0.007480
Dist,5.000000,0.024869,0.032349
Dist,6.000000,0.081785,0.114135
Dist,7.000000,0.201144,0.315279
Dist,8.000000,0.331519,0.646798
Dist,9.000000,0.291093,0.937891
Dist,10.000000,0.057532,0.995423
Dist,11.000000,0.004407,0.999830
Dist,12.000000,0.000167,0.999996
Dist,13.000000,0.000004,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,1.000000,1.000000,Results,1.745776,1.760933,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.202436,0.202436
Dist,1.000000,0.274419,0.476855
Dist,2.000000,0.238747,0.715602
Dist,3.000000,0.159896,0.875498
Dist,4.000000,0.109592,0.985090
Dist,5.000000,0.013723,0.998812
