## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,8.229436,18.127814,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.084805,0.084805
Dist,1.000000,0.039777,0.124582
Dist,2.000000,0.033191,0.157772
Dist,3.000000,0.030956,0.188728
Dist,4.000000,0.032118,0.220846
Dist,5.000000,0.036126,0.256972
Dist,6.000000,0.043177,0.300149
Dist,7.000000,0.054036,0.354185
Dist,8.000000,0.069426,0.423612
Dist,9.000000,0.087718,0.511330
Dist,10.000000,0.105206,0.616535
Dist,11.000000,0.117315,0.733850
Dist,12.000000,0.118181,0.852031
Dist,13.000000,0.098164,0.950195
Dist,14.000000,0.045489,0.995684
Dist,15.000000,0.003710,0.999393
Dist,16.000000,0.000512,0.999906
Dist,17.000000,0.000083,0.999989
Dist,18.000000,0.000011,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStateViareggio,-1.000000,-1.000000,Results,3.698698,15.736933,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.226754,0.226754
Dist,1.000000,0.166327,0.393080
Dist,2.000000,0.131367,0.524448
Dist,3.000000,0.098072,0.622520
Dist,4.000000,0.072392,0.694912
Dist,5.000000,0.054366,0.749278
Dist,6.000000,0.042341,0.791619
Dist,7.000000,0.034444,0.826064
Dist,8.000000,0.029301,0.855365
Dist,9.000000,0.026048,0.881413
Dist,10.000000,0.024231,0.905644
Dist,11.000000,0.023724,0.929368
Dist,12.000000,0.024607,0.953975
Dist,13.000000,0.018189,0.972164
Dist,14.000000,0.012678,0.984842
Dist,15.000000,0.008098,0.992940
Dist,16.000000,0.004518,0.997458
Dist,17.000000,0.002000,0.999458
Dist,18.000000,0.000542,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,StedyStatePistoia,-1.000000,-1.000000,Results,3.331622,2.769979,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.084117,0.084117
Dist,1.000000,0.077270,0.161386
Dist,2.000000,0.109164,0.270550
Dist,3.000000,0.166987,0.437537
Dist,4.000000,0.373630,0.811167
Dist,5.000000,0.124474,0.935641
Dist,6.000000,0.042699,0.978340
Dist,7.000000,0.014523,0.992863
Dist,8.000000,0.004864,0.997726
Dist,9.000000,0.001585,0.999311
Dist,10.000000,0.000493,0.999805
Dist,11.000000,0.000144,0.999949
Dist,12.000000,0.000039,0.999988
Dist,13.000000,0.000010,0.999997
Dist,14.000000,0.000002,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateLucca,-1.000000,-1.000000,Results,2.738187,5.516421,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.139360,0.139360
Dist,1.000000,0.222535,0.361895
Dist,2.000000,0.193209,0.555104
Dist,3.000000,0.146410,0.701514
Dist,4.000000,0.104255,0.805768
Dist,5.000000,0.072553,0.878321
Dist,6.000000,0.054241,0.932562
Dist,7.000000,0.021271,0.953832
Dist,8.000000,0.016305,0.970137
Dist,9.000000,0.011819,0.981956
Dist,10.000000,0.007997,0.989953
Dist,11.000000,0.004976,0.994928
Dist,12.000000,0.002799,0.997727
Dist,13.000000,0.001394,0.999121
Dist,14.000000,0.000597,0.999718
Dist,15.000000,0.000212,0.999930
Dist,16.000000,0.000058,0.999988
Dist,17.000000,0.000011,0.999999
Dist,18.000000,0.000001,1.000000

