## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,11.173192,30.509969,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.077076,0.077076
Dist,1.000000,0.031413,0.108489
Dist,2.000000,0.025069,0.133559
Dist,3.000000,0.021879,0.155438
Dist,4.000000,0.020823,0.176260
Dist,5.000000,0.021084,0.197344
Dist,6.000000,0.022295,0.219639
Dist,7.000000,0.024422,0.244062
Dist,8.000000,0.027685,0.271747
Dist,9.000000,0.032545,0.304292
Dist,10.000000,0.039738,0.344030
Dist,11.000000,0.050251,0.394281
Dist,12.000000,0.064892,0.459172
Dist,13.000000,0.082192,0.541364
Dist,14.000000,0.098703,0.640067
Dist,15.000000,0.110126,0.750192
Dist,16.000000,0.110959,0.861151
Dist,17.000000,0.092158,0.953309
Dist,18.000000,0.042682,0.995991
Dist,19.000000,0.003450,0.999441
Dist,20.000000,0.000472,0.999914
Dist,21.000000,0.000076,0.999990
Dist,22.000000,0.000010,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStateViareggio,-1.000000,-1.000000,Results,4.541966,25.724614,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.213151,0.213151
Dist,1.000000,0.156294,0.369445
Dist,2.000000,0.123445,0.492890
Dist,3.000000,0.092152,0.585041
Dist,4.000000,0.068005,0.653046
Dist,5.000000,0.051040,0.704086
Dist,6.000000,0.039694,0.743779
Dist,7.000000,0.032184,0.775964
Dist,8.000000,0.027180,0.803144
Dist,9.000000,0.023794,0.826938
Dist,10.000000,0.021460,0.848398
Dist,11.000000,0.019840,0.868238
Dist,12.000000,0.018743,0.886981
Dist,13.000000,0.018105,0.905086
Dist,14.000000,0.017974,0.923060
Dist,15.000000,0.018540,0.941600
Dist,16.000000,0.020111,0.961711
Dist,17.000000,0.015021,0.976732
Dist,18.000000,0.010552,0.987283
Dist,19.000000,0.006778,0.994062
Dist,20.000000,0.003796,0.997858
Dist,21.000000,0.001685,0.999543
Dist,22.000000,0.000457,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,StedyStatePistoia,-1.000000,-1.000000,Results,3.371584,2.829111,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.082930,0.082930
Dist,1.000000,0.074338,0.157268
Dist,2.000000,0.106543,0.263811
Dist,3.000000,0.164585,0.428396
Dist,4.000000,0.375598,0.803994
Dist,5.000000,0.126326,0.930320
Dist,6.000000,0.044843,0.975164
Dist,7.000000,0.016017,0.991181
Dist,8.000000,0.005731,0.996912
Dist,9.000000,0.002034,0.998946
Dist,10.000000,0.000706,0.999652
Dist,11.000000,0.000237,0.999890
Dist,12.000000,0.000077,0.999967
Dist,13.000000,0.000024,0.999990
Dist,14.000000,0.000007,0.999997
Dist,15.000000,0.000002,0.999999
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000
Dist,19.000000,0.000000,1.000000
Dist,20.000000,0.000000,1.000000
Dist,21.000000,0.000000,1.000000
Dist,22.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateLucca,-1.000000,-1.000000,Results,2.911202,6.722548,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.134448,0.134448
Dist,1.000000,0.216060,0.350508
Dist,2.000000,0.188928,0.539436
Dist,3.000000,0.144215,0.683651
Dist,4.000000,0.103582,0.787233
Dist,5.000000,0.072950,0.860183
Dist,6.000000,0.055459,0.915642
Dist,7.000000,0.022006,0.937648
Dist,8.000000,0.017929,0.955577
Dist,9.000000,0.014114,0.969691
Dist,10.000000,0.010645,0.980336
Dist,11.000000,0.007627,0.987963
Dist,12.000000,0.005145,0.993108
Dist,13.000000,0.003239,0.996347
Dist,14.000000,0.001883,0.998230
Dist,15.000000,0.000998,0.999228
Dist,16.000000,0.000475,0.999703
Dist,17.000000,0.000199,0.999902
Dist,18.000000,0.000071,0.999974
Dist,19.000000,0.000021,0.999994
Dist,20.000000,0.000005,0.999999
Dist,21.000000,0.000001,1.000000
Dist,22.000000,0.000000,1.000000

