## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,5.095354,1.699342,6
## Dist,x, P(X=x), P(X<=x)
Dist,2.000000,0.026551,0.026551
Dist,3.000000,0.108571,0.135122
Dist,4.000000,0.175609,0.310731
Dist,5.000000,0.267426,0.578157
Dist,6.000000,0.275929,0.854086
Dist,7.000000,0.145914,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,1.500191,1.531238,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.250213,0.250213
Dist,1.000000,0.302096,0.552310
Dist,2.000000,0.230273,0.782583
Dist,3.000000,0.134513,0.917097
Dist,4.000000,0.080509,0.997606
Dist,5.000000,0.002394,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,1.404883,1.324294,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.229139,0.229139
Dist,1.000000,0.364637,0.593777
Dist,2.000000,0.244611,0.838388
Dist,3.000000,0.111071,0.949459
Dist,4.000000,0.037682,0.987141
Dist,5.000000,0.010184,0.997325
Dist,6.000000,0.002563,0.999888
Dist,7.000000,0.000112,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,5.999041,1.354992,8
## Dist,x, P(X=x), P(X<=x)
Dist,1.000000,0.000972,0.000972
Dist,2.000000,0.005504,0.006476
Dist,3.000000,0.022161,0.028636
Dist,4.000000,0.074747,0.103384
Dist,5.000000,0.191086,0.294469
Dist,6.000000,0.332621,0.627090
Dist,7.000000,0.312842,0.939932
Dist,8.000000,0.060068,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,2.868855,0.765290,6
## Dist,x, P(X=x), P(X<=x)
Dist,2.000000,0.377679,0.377679
Dist,3.000000,0.438686,0.816365
Dist,4.000000,0.134854,0.951219
Dist,5.000000,0.036783,0.988002
Dist,6.000000,0.009879,0.997880
Dist,7.000000,0.002120,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,6.000000,6.000000,Results,3.605071,0.808847,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.005644,0.005644
Dist,1.000000,0.022500,0.028144
Dist,2.000000,0.079946,0.108090
Dist,3.000000,0.248594,0.356684
Dist,4.000000,0.539683,0.896367
Dist,5.000000,0.103633,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,6.000000,6.000000,Results,3.982241,3.321596,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.038686,0.038686
Dist,1.000000,0.077833,0.116519
Dist,2.000000,0.113679,0.230198
Dist,3.000000,0.144369,0.374567
Dist,4.000000,0.173184,0.547751
Dist,5.000000,0.202901,0.750652
Dist,6.000000,0.208735,0.959387
Dist,7.000000,0.040613,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,6.000000,6.000000,Results,3.541838,3.336146,8
## Dist,x, P(X=x), P(X<=x)
Dist,1.000000,0.120637,0.120637
Dist,2.000000,0.234402,0.355040
Dist,3.000000,0.190605,0.545644
Dist,4.000000,0.157402,0.703046
Dist,5.000000,0.127896,0.830943
Dist,6.000000,0.093032,0.923974
Dist,7.000000,0.054904,0.978878
Dist,8.000000,0.021122,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,2.892680,0.755940,6
